id,tradeId,providerTicket,brokerTicket,lots,dateOpen,dateClosed,priceOpen,priceClosed,maxProfit,maxProfitDate,worstDrawdown,maxDrawdownDate,pips,totalPips,grossPnl,netPnl,interest,commission,existsAsLiveTrade,hasEconomicEvent,statusId,valid,amount,currencyId,transactionCurrency,currency,totalAccumulatedPips,tradeType,totalAccumulatedPnl
113628053,110742564,300.1316087723321,108978696,0.5,2011-09-16 13:57:24,2011-09-16 13:58:21,1.38284,1.38314,6.0,2011-09-16 13:57:54,-1.0,2011-09-16 13:57:30,3.0,15.0,15.0,15.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7960.3,BUY,18560.36214660121
113599613,110889467,300.1316088109505,109005836,0.5,2011-09-16 12:06:54,2011-09-16 12:07:04,1.37765,1.37756,2.0,2011-09-16 12:07:02,-0.0,2011-09-16 12:07:05,0.9,5.0,4.5,4.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7957.3,SELL,18545.36214660121
113544859,110611046,300.1315776330192,108939922,0.5,2011-09-16 06:52:46,2011-09-16 06:56:23,1.38356,1.38345,3.0,2011-09-16 06:56:02,-9.0,2011-09-16 06:53:38,1.1,6.0,5.5,5.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7956.4,SELL,18540.86214660121
113529324,110801149,300.1316087848882,108984817,0.5,2011-09-15 22:21:38,2011-09-16 03:30:08,1.38799,1.38647,1.0,2011-09-15 22:28:35,-44.0,2011-09-16 01:37:29,-15.2,-76.0,-76.0,-76.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7955.3,BUY,18535.36214660121
113504648,110773275,300.1316087821867,108983216,0.5,2011-09-15 21:01:37,2011-09-15 21:35:32,1.38759,1.38904,14.0,2011-09-15 21:35:32,-5.0,2011-09-15 21:03:05,14.5,73.0,72.5,72.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7970.5,BUY,18611.36214660121
113347446,110599603,300.1315776293410,108937018,0.5,2011-09-15 06:44:20,2011-09-15 11:56:02,1.37444,1.37998,80.0,2011-09-15 10:48:39,-33.0,2011-09-15 06:57:27,55.4,277.0,277.0,277.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7956.0,BUY,18538.86214660121
113347445,110578137,300.1315776256520,108933432,0.5,2011-09-15 08:35:02,2011-09-15 11:56:01,1.37842,1.37999,40.0,2011-09-15 10:48:39,-32.0,2011-09-15 09:27:09,15.7,79.0,78.5,78.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7900.6,BUY,18261.86214660121
113296506,110620127,300.1315776367554,108942989,0.5,2011-09-15 06:00:08,2011-09-15 06:45:06,76.74,76.682,6.0,2011-09-15 06:43:59,-2.0,2011-09-15 06:00:28,5.8,29.0,37.82,37.82,0.0,0.0,False,False,1,True,50000.0,4,USD,USD/JPY,7884.9,SELL,18183.36214660121
113236990,110554642,300.1315776219274,108931123,0.5,2011-09-14 22:00:02,2011-09-14 23:18:01,1.37421,1.37527,12.0,2011-09-14 23:12:01,-8.0,2011-09-14 22:05:09,10.6,53.0,53.0,53.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7879.1,BUY,18145.54214660121
113200720,110528175,300.1315776144108,108924847,0.5,2011-09-14 18:04:28,2011-09-14 18:06:29,1.37721,1.37728,5.0,2011-09-14 18:06:22,-6.0,2011-09-14 18:05:03,0.7,4.0,3.5,3.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7868.5,BUY,18092.54214660121
113184975,110501457,300.1315776084150,108918926,0.5,2011-09-14 17:49:15,2011-09-14 17:49:31,1.37487,1.37624,18.0,2011-09-14 17:49:32,0.0,2011-09-14 15:00:02,13.7,69.0,68.5,68.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7867.8,BUY,18089.04214660121
113139776,110432271,300.1315776023474,108909210,0.5,2011-09-14 12:45:01,2011-09-14 12:45:15,1.37434,1.37446,2.0,2011-09-14 12:45:14,-2.0,2011-09-14 12:45:05,1.2,6.0,6.0,6.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7854.1,BUY,18020.54214660121
113137766,110321043,300.1315775792327,108871930,0.5,2011-09-14 11:05:20,2011-09-14 12:33:20,1.37401,1.37072,1.0,2011-09-14 11:57:03,-35.0,2011-09-14 12:33:20,-32.9,-165.0,-164.5,-164.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7852.9,BUY,18014.54214660121
113100476,110340158,300.1315775847554,108878364,0.5,2011-09-14 10:07:47,2011-09-14 10:35:23,1.37069,1.37122,9.0,2011-09-14 10:34:55,-23.0,2011-09-14 10:22:20,5.3,27.0,26.5,26.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7885.8,BUY,18179.04214660121
113067165,110399129,300.1315775949631,108896018,0.5,2011-09-14 08:15:01,2011-09-14 08:27:23,1.57564,1.57379,18.0,2011-09-14 08:27:23,-5.0,2011-09-14 08:18:29,18.5,93.0,92.5,92.5,0.0,0.0,False,False,1,True,50000.0,3,GBP,GBP/USD,7880.5,SELL,18152.54214660121
113046990,110368680,300.1315775885761,108883143,0.5,2011-09-14 05:33:00,2011-09-14 06:16:26,1.36081,1.3606,4.0,2011-09-14 06:16:18,-40.0,2011-09-14 05:42:29,2.1,11.0,10.5,10.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7862.0,SELL,18060.04214660121
113014124,110327265,300.1315775810930,108874136,0.5,2011-09-14 01:56:44,2011-09-14 01:57:43,1.36686,1.36677,3.0,2011-09-14 01:57:03,-2.0,2011-09-14 01:56:48,0.9,5.0,4.5,4.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7859.9,SELL,18049.54214660121
113004804,110305992,300.1315775756574,108869355,0.5,2011-09-13 22:25:07,2011-09-13 22:56:09,1.36729,1.36876,1.0,2011-09-13 22:29:09,-16.0,2011-09-13 22:56:12,-14.7,-74.0,-73.5,-73.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7859.0,SELL,18045.04214660121
112958746,110250396,300.1315775661542,108862278,0.5,2011-09-13 17:04:45,2011-09-13 17:04:52,1.37272,1.37289,4.0,2011-09-13 17:04:52,-5.0,2011-09-13 17:04:49,1.7,9.0,8.5,8.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7873.7,BUY,18118.54214660121
112893986,110190232,300.1315775600892,108856132,0.5,2011-09-13 14:05:03,2011-09-13 14:06:29,1.37114,1.37115,3.0,2011-09-13 14:06:28,-6.0,2011-09-13 14:05:18,0.1,1.0,0.5,0.5,0.0,0.0,False,True,1,True,50000.0,2,EUR,EUR/USD,7872.0,BUY,18110.04214660121
112888062,110170774,300.1315775581471,108852937,0.5,2011-09-13 13:33:00,2011-09-13 13:33:56,1.36838,1.36851,3.0,2011-09-13 13:33:35,-3.0,2011-09-13 13:33:05,1.3,7.0,6.5,6.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7871.9,BUY,18109.54214660121
112848474,110092486,300.1315775502031,108842791,0.5,2011-09-13 11:33:47,2011-09-13 11:35:00,1.36963,1.37007,9.0,2011-09-13 11:34:04,-1.0,2011-09-13 11:33:52,4.4,22.0,22.0,22.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7870.6,BUY,18103.04214660121
112718174,109962686,300.1315775275752,108822794,0.5,2011-09-13 07:12:06,2011-09-13 07:12:17,1.36201,1.36196,4.0,2011-09-13 07:12:15,-2.0,2011-09-13 07:12:18,0.5,3.0,2.5,2.5,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7866.2,SELL,18081.04214660121
112713531,109971146,300.1315775294841,108824244,0.5,2011-09-13 06:24:46,2011-09-13 07:00:24,1.36954,1.3645,0.0,2011-09-12 22:00:13,-50.0,2011-09-13 07:00:24,-50.4,-252.0,-252.0,-252.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7865.7,BUY,18078.54214660121
112696324,109975596,300.1315775313105,108825179,0.5,2011-09-13 03:48:09,2011-09-13 03:52:01,1.36853,1.36855,2.0,2011-09-13 03:51:23,-3.0,2011-09-13 03:48:58,0.2,1.0,1.0,1.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,7916.1,BUY,18330.54214660121
112674620,109946622,300.1315775251768,108820085,0.5,2011-09-12 19:46:38,2011-09-13 00:15:01,1.58316,1.58418,0.0,2011-09-12 19:46:38,-43.0,2011-09-12 21:04:34,-10.2,-51.0,-51.0,-52.61,-1.61,0.0,False,False,1,True,50000.0,3,GBP,GBP/USD,7915.9,SELL,18329.54214660121
112622193,109801630,300.1315775026721,108794356,0.5,2011-09-12 08:39:40,2011-09-12 17:30:01,0.88705,0.8868,1.0,2011-09-12 17:28:27,-71.0,2011-09-12 13:59:57,-2.5,-13.0,-14.1,-14.1,0.0,0.0,False,False,1,True,50000.0,5,USD,USD/CHF,7926.1,BUY,18382.15214660121
112553879,109816900,300.1315775055133,108797198,0.5,2011-09-12 10:00:02,2011-09-12 15:00:03,77.047,77.016,13.0,2011-09-12 10:45:53,-23.0,2011-09-12 13:22:25,3.1,16.0,20.13,20.13,0.0,0.0,False,False,1,True,50000.0,4,USD,USD/JPY,7928.6,SELL,18396.252146601208
