id,tradeId,providerTicket,brokerTicket,lots,dateOpen,dateClosed,priceOpen,priceClosed,maxProfit,maxProfitDate,worstDrawdown,maxDrawdownDate,pips,totalPips,grossPnl,netPnl,interest,commission,existsAsLiveTrade,hasEconomicEvent,statusId,valid,amount,currencyId,transactionCurrency,currency,totalAccumulatedPips,tradeType,totalAccumulatedPnl
376623802,439187778,400.1496610884683,63273311,0.01,2017-09-10 21:13:52,2017-09-10 21:40:12,1.49297,1.49204,0.0,2017-09-10 21:13:52,-10.0,2017-09-10 21:30:53,-9.3,-1.0,-0.75,-0.75,0.0,0.0,False,False,1,True,1000.0,14,EUR,EUR/AUD,-8952.0,BUY,-199205.84993546773
376623800,439187773,400.1496610884664,63273309,0.01,2017-09-10 21:13:36,2017-09-10 21:40:06,1.20221,1.20237,0.0,2017-09-10 21:13:36,-6.0,2017-09-10 21:18:54,-1.6,0.0,-0.16,-0.16,0.0,0.0,False,False,1,True,1000.0,2,EUR,EUR/USD,-8942.7,SELL,-199205.09993546773
348625243,395010242,400.1461104527279,50627249,0.01,2016-06-23 13:59:52,2016-08-18 10:52:36,0.76816,0.86055,79.0,2016-06-23 21:34:23,-1044.0,2016-08-16 07:38:23,-923.9,-92.0,-121.59,-120.82,0.77,0.0,False,False,1,True,1000.0,11,EUR,EUR/GBP,-8941.1,SELL,-199204.93993546773
339922226,385922271,400.1457873770339,48285273,0.01,2016-04-08 10:11:35,2016-06-06 13:35:17,1.13764,1.13555,277.0,2016-05-30 01:37:28,-241.0,2016-05-03 08:09:22,20.9,2.0,2.09,3.11,1.02,0.0,False,False,1,True,1000.0,2,EUR,EUR/USD,-8017.2,SELL,-199084.11993546772
335291809,385940251,400.1457873843758,48291493,0.1,2016-04-08 12:55:39,2016-04-20 21:57:55,1.13594,1.1302,124.0,2016-04-14 07:22:59,-107.0,2016-04-12 08:21:50,57.4,57.0,57.4,59.54,2.14,0.0,False,False,1,True,10000.0,2,EUR,EUR/USD,-8038.1,SELL,-199087.2299354677
335291807,385922262,400.1457873770334,48285267,0.05,2016-04-08 10:11:29,2016-04-20 21:57:52,1.13767,1.1302,142.0,2016-04-14 07:22:59,-89.0,2016-04-12 08:21:51,74.7,37.0,37.35,38.41,1.06,0.0,False,False,1,True,5000.0,2,EUR,EUR/USD,-8095.5,SELL,-199146.76993546772
335291804,385922259,400.1457873770329,48285265,0.1,2016-04-08 10:11:23,2016-04-20 21:57:45,1.13768,1.13018,142.0,2016-04-14 07:22:59,-89.0,2016-04-12 08:21:50,75.0,75.0,75.0,77.14,2.14,0.0,False,False,1,True,10000.0,2,EUR,EUR/USD,-8170.2,SELL,-199185.17993546772
334001973,385922244,400.1457873770303,48285255,0.5,2016-04-08 10:10:54,2016-04-08 13:25:45,1.13773,1.13941,24.0,2016-04-08 12:43:33,-17.0,2016-04-08 13:25:45,-16.8,-84.0,-84.0,-84.0,0.0,0.0,False,False,1,True,50000.0,2,EUR,EUR/USD,-8245.2,SELL,-199262.31993546773
333913127,385781886,400.1457873261237,48247534,1.0,2016-04-07 15:00:04,2016-04-08 00:09:02,152.109,152.593,43.0,2016-04-07 15:09:06,-48.0,2016-04-08 00:09:02,-48.4,-484.0,-445.65,-451.64,-5.99,0.0,False,False,1,True,100000.0,6,GBP,GBP/JPY,-8228.4,SELL,-199178.31993546773
333896744,385782286,400.1457873264063,48248099,0.7,2016-04-07 15:04:17,2016-04-07 17:22:46,152.009,152.333,33.0,2016-04-07 15:09:06,-32.0,2016-04-07 17:22:46,-32.4,-227.0,-209.46,-209.46,0.0,0.0,False,False,1,True,70000.0,6,GBP,GBP/JPY,-8180.0,SELL,-198726.67993546772
333890443,385786216,400.1457873267149,48248869,0.5,2016-04-07 15:09:07,2016-04-07 15:32:23,151.691,152.187,0.0,2016-04-07 15:09:08,-50.0,2016-04-07 15:32:23,-49.6,-248.0,-229.63,-229.63,0.0,0.0,False,False,1,True,50000.0,6,GBP,GBP/JPY,-8147.6,SELL,-198517.21993546773
333877757,385761819,400.1457873207387,48235553,1.0,2016-04-07 13:07:08,2016-04-07 15:00:01,152.604,152.11,8.0,2016-04-07 13:08:48,-66.0,2016-04-07 13:30:48,-49.4,-494.0,-457.73,-457.73,0.0,0.0,False,False,1,True,100000.0,6,GBP,GBP/JPY,-8098.0,BUY,-198287.58993546772
