id,tradeId,providerTicket,brokerTicket,lots,dateOpen,dateClosed,priceOpen,priceClosed,maxProfit,maxProfitDate,worstDrawdown,maxDrawdownDate,pips,totalPips,grossPnl,netPnl,interest,commission,existsAsLiveTrade,hasEconomicEvent,statusId,valid,amount,currencyId,transactionCurrency,currency,totalAccumulatedPips,tradeType,totalAccumulatedPnl
397290724,469277073,131.636662167232042623,01526230496087,1.0,2018-07-03 14:47:50,2018-07-06 12:43:01,1.16585,1.1749,104.0,2018-07-06 12:37:39,-30.0,2018-07-04 09:46:48,90.5,91.0,905.0,894.09,-10.91,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,8784.2,BUY,68100.89780380751
394546814,456836435,131.636568080997784893,01520777693147,1.0,2018-03-20 18:54:41,2018-05-18 13:10:26,1.2255,1.17549,220.0,2018-03-27 06:51:28,-500.0,2018-05-18 13:10:26,-500.1,-500.0,-5001.0,-5420.5,-419.5,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,8693.7,BUY,67206.80780380752
394546655,456836423,131.636568080997784892,01520777693138,1.0,2018-03-20 18:53:59,2018-05-18 13:10:15,1.22561,1.17566,219.0,2018-03-27 06:51:28,-500.0,2018-05-18 13:10:15,-499.5,-500.0,-4995.0,-5414.5,-419.5,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,9193.8,BUY,72627.30780380752
394408148,452086219,131.636535298390605068,01513436524069,1.0,2018-02-07 18:37:47,2018-05-16 12:53:18,1.22652,1.17646,289.0,2018-02-16 04:54:22,-501.0,2018-05-16 12:53:18,-500.6,-501.0,-5006.0,-5544.93,-538.93,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,9693.3,BUY,78041.80780380752
385083492,436965486,131.636373624907369062,01496584474149,1.0,2017-08-06 21:38:45,2018-01-15 09:52:52,1.17713,1.22713,216.0,2017-11-07 10:14:19,-500.0,2018-01-15 09:52:52,-500.0,-500.0,-5000.0,-4568.7,431.3,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,10193.9,SELL,83586.73780380751
371642210,421171883,132.636202059585263648,01484311669818,1.0,2017-01-17 10:58:04,2017-05-19 11:48:43,1.06807,1.11803,500.0,2017-05-19 11:48:43,-188.0,2017-02-22 11:53:40,499.6,500.0,4996.0,4440.4,-555.6,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,10693.9,BUY,88155.43780380751
371641050,421170674,132.636202059585263603,01484311669708,1.0,2017-01-17 10:51:30,2017-05-19 11:31:04,1.06712,1.11712,500.0,2017-05-19 11:31:04,-179.0,2017-02-22 11:53:40,500.0,500.0,5000.0,4444.4,-555.6,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,10194.3,BUY,83715.03780380751
370195432,415148855,133.636144733937256434,01476461660765,1.0,2016-11-15 10:52:22,2017-04-25 15:53:11,1.07892,1.09392,150.0,2017-04-25 15:53:11,-450.0,2017-01-03 15:14:36,150.0,150.0,1500.0,722.08,-777.92,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,9694.3,BUY,79270.63780380752
363045043,415714832,134.636153179337186726,01476461790053,1.0,2016-11-21 10:45:51,2017-01-17 10:51:23,1.06409,1.0668,231.0,2016-12-08 12:46:04,-302.0,2017-01-03 15:14:36,27.1,27.0,271.0,-63.56,-334.56,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,9544.3,BUY,78548.55780380752
360977167,414733969,133.636137935037342938,01476461561168,1.0,2016-11-10 19:42:46,2016-12-15 16:38:59,1.08907,1.03918,31.0,2016-11-11 02:36:09,-499.0,2016-12-15 16:38:59,-498.9,-499.0,-4989.0,-5121.56,-132.56,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,9517.2,BUY,78612.11780380752
