id,tradeId,providerTicket,brokerTicket,lots,dateOpen,dateClosed,priceOpen,priceClosed,maxProfit,maxProfitDate,worstDrawdown,maxDrawdownDate,pips,totalPips,grossPnl,netPnl,interest,commission,existsAsLiveTrade,hasEconomicEvent,statusId,valid,amount,currencyId,transactionCurrency,currency,totalAccumulatedPips,tradeType,totalAccumulatedPnl
200856594,218009611,300.1366579205621,98286920,1.81,2013-04-23 20:12:33,2013-04-23 21:12:38,1.30052,1.29993,8.0,2013-04-23 21:06:45,-2.0,2013-04-23 20:18:44,5.9,107.0,106.79,106.79,0.0,0.0,True,False,1,True,181000.0,2,EUR,EUR/USD,1894.3,SELL,25629.520000000004
197700027,213769637,300.1364764755518,97127218,1.83,2013-04-02 21:30:22,2013-04-02 22:41:02,1.28231,1.28228,2.0,2013-04-02 21:44:20,-5.0,2013-04-02 21:34:42,0.3,5.0,5.49,5.49,0.0,0.0,True,False,1,True,183000.0,2,EUR,EUR/USD,1888.4,SELL,25522.730000000003
197476035,213478097,300.1364763839366,97046158,1.82,2013-04-01 21:00:57,2013-04-01 22:00:59,1.28435,1.28469,5.0,2013-04-01 21:50:36,-6.0,2013-04-01 21:01:32,3.4,62.0,61.88,61.88,0.0,0.0,True,False,1,True,182000.0,2,EUR,EUR/USD,1888.1,BUY,25517.24
196411453,211900478,300.1363556972394,96444560,1.8,2013-03-21 20:00:02,2013-03-21 21:00:19,1.28953,1.29009,6.0,2013-03-21 20:03:07,-5.0,2013-03-21 20:09:10,5.6,101.0,100.8,96.68,-4.12,0.0,True,False,1,True,180000.0,2,EUR,EUR/USD,1884.7,BUY,25455.36
195875923,211153372,300.1363555239373,96305110,1.8,2013-03-19 21:40:41,2013-03-20 00:05:28,1.28653,1.28655,6.0,2013-03-19 22:01:02,-9.0,2013-03-19 23:24:02,0.2,4.0,3.6,3.6,0.0,0.0,True,False,1,True,180000.0,2,EUR,EUR/USD,1879.1,BUY,25358.68
195684898,210870848,300.1363554298368,96204504,1.79,2013-03-18 20:01:39,2013-03-18 22:06:46,1.29576,1.2956,9.0,2013-03-18 20:02:50,-11.0,2013-03-18 20:12:44,1.6,29.0,28.64,28.64,0.0,0.0,True,False,1,True,179000.0,2,EUR,EUR/USD,1878.9,SELL,25355.08
194640749,209591458,300.1363032131643,95796002,1.76,2013-03-11 20:20:59,2013-03-11 21:47:11,1.30468,1.30428,4.0,2013-03-11 21:46:34,-7.0,2013-03-11 20:21:41,4.0,70.0,70.4,70.4,0.0,0.0,True,False,1,True,176000.0,2,EUR,EUR/USD,1877.3,SELL,25326.440000000002
194020048,208567602,300.1362349725555,95336325,1.75,2013-03-05 22:05:34,2013-03-05 23:11:36,1.30509,1.3047,4.0,2013-03-05 22:56:50,-5.0,2013-03-05 22:07:23,3.9,68.0,68.25,68.25,0.0,0.0,True,False,1,True,175000.0,2,EUR,EUR/USD,1873.3,SELL,25256.04
192980746,207148427,300.1361743528598,94789277,1.72,2013-02-25 21:00:04,2013-02-25 21:07:35,1.30601,1.30703,10.0,2013-02-25 21:07:35,-2.0,2013-02-25 21:00:53,10.2,175.0,175.44,175.44,0.0,0.0,True,False,1,True,172000.0,2,EUR,EUR/USD,1869.4,BUY,25187.79
192604340,206650766,300.1361449067210,94618538,1.52,2013-02-21 22:41:49,2013-02-21 23:49:03,1.31914,1.3189,6.0,2013-02-21 22:53:13,-5.0,2013-02-21 23:17:26,2.4,36.0,36.48,36.48,0.0,0.0,True,False,1,True,152000.0,2,EUR,EUR/USD,1859.2,SELL,25012.350000000002
192600127,206643740,300.1361449011079,94616316,1.7,2013-02-21 21:04:40,2013-02-21 22:45:08,1.31896,1.31882,6.0,2013-02-21 21:23:18,-4.0,2013-02-21 22:42:10,1.4,24.0,23.8,23.8,0.0,0.0,True,False,1,True,170000.0,2,EUR,EUR/USD,1856.8,SELL,24975.870000000003
192047960,205937094,300.1361138802147,94374323,3.34,2013-02-18 22:10:26,2013-02-18 23:13:12,1.33547,1.33535,2.0,2013-02-18 23:08:57,-3.0,2013-02-18 22:12:22,1.2,40.0,40.08,40.08,0.0,0.0,True,False,1,True,334000.0,2,EUR,EUR/USD,1855.4,SELL,24952.070000000003
191621191,205289997,300.1360535664166,94202311,3.26,2013-02-13 22:25:15,2013-02-13 23:39:23,1.34524,1.34471,7.0,2013-02-13 22:36:12,-3.0,2013-02-13 22:27:51,5.3,173.0,172.78,172.78,0.0,0.0,True,False,1,True,326000.0,2,EUR,EUR/USD,1854.2,SELL,24911.99
191439414,205044550,300.1360534809486,94155499,3.24,2013-02-12 22:08:52,2013-02-12 23:08:55,1.34555,1.34529,5.0,2013-02-12 23:03:14,-5.0,2013-02-12 22:25:02,2.6,84.0,84.24,84.24,0.0,0.0,True,False,1,True,324000.0,2,EUR,EUR/USD,1848.9,SELL,24739.210000000003
190509935,203812706,300.1360064604121,93834465,3.12,2013-02-05 22:18:23,2013-02-05 23:30:54,1.35877,1.35772,13.0,2013-02-05 23:04:45,-4.0,2013-02-05 22:19:12,10.5,328.0,327.6,327.6,0.0,0.0,True,False,1,True,312000.0,2,EUR,EUR/USD,1846.3,SELL,24654.97
190280554,203496247,300.1359929130765,93771017,3.06,2013-02-04 22:45:51,2013-02-04 23:46:54,1.35085,1.35085,5.0,2013-02-04 23:32:32,-10.0,2013-02-04 22:55:58,0.0,0.0,0.0,0.0,0.0,0.0,True,False,1,True,306000.0,2,EUR,EUR/USD,1835.8,BUY,24327.370000000003
190279887,203497346,300.1359929135477,93771613,2.38,2013-02-04 22:53:05,2013-02-04 23:31:26,1.35027,1.35127,10.0,2013-02-04 23:31:26,-4.0,2013-02-04 22:55:58,10.0,238.0,238.0,238.0,0.0,0.0,True,False,1,True,238000.0,2,EUR,EUR/USD,1835.8,BUY,24327.370000000003
188892552,201615573,300.1358720272373,93299905,2.38,2013-01-22 22:35:36,2013-01-22 23:45:06,1.3326,1.33183,9.0,2013-01-22 23:21:32,-3.0,2013-01-22 22:36:07,7.7,183.0,183.26,183.26,0.0,0.0,True,False,1,True,238000.0,2,EUR,EUR/USD,1825.8,SELL,24089.370000000003
188888544,201612270,300.1358720242182,93298835,3.02,2013-01-22 21:38:40,2013-01-22 23:00:06,1.33259,1.33219,5.0,2013-01-22 22:21:53,-3.0,2013-01-22 22:36:07,4.0,121.0,120.8,120.8,0.0,0.0,True,False,1,True,302000.0,2,EUR,EUR/USD,1818.1,SELL,23906.110000000004
187153855,184076663,300.1357512208681,92904198,1.66,2013-01-10 22:34:47,2013-01-10 23:43:07,1.32719,1.32652,10.0,2013-01-10 23:30:10,-8.0,2013-01-10 22:36:04,6.7,111.0,111.22,111.22,0.0,0.0,True,False,1,True,166000.0,2,EUR,EUR/USD,1814.1,SELL,23785.310000000005
187153249,184069845,300.1357512186646,92902137,2.16,2013-01-10 21:56:57,2013-01-10 23:29:10,1.3265,1.32642,3.0,2013-01-10 22:18:57,-15.0,2013-01-10 22:36:04,0.8,17.0,17.28,17.28,0.0,0.0,True,False,1,True,216000.0,2,EUR,EUR/USD,1807.4,SELL,23674.090000000004
186828255,183657241,300.1357510635727,92806663,2.14,2013-01-08 22:45:30,2013-01-08 23:54:20,1.30772,1.30822,8.0,2013-01-08 23:32:05,-2.0,2013-01-08 22:45:33,5.0,107.0,107.0,107.0,0.0,0.0,True,False,1,True,214000.0,2,EUR,EUR/USD,1806.6,BUY,23656.810000000005
186648944,183389359,300.1357509852863,92757199,2.14,2013-01-07 22:03:32,2013-01-08 01:15:48,1.31161,1.31159,0.0,2013-01-08 01:15:48,-13.0,2013-01-07 22:51:38,0.2,4.0,4.28,4.28,0.0,0.0,True,False,1,True,214000.0,2,EUR,EUR/USD,1801.6,SELL,23549.810000000005
185371241,181562316,300.1356028635359,92338787,2.12,2012-12-20 22:04:35,2012-12-20 23:04:37,1.32444,1.32442,1.0,2012-12-20 23:04:29,-9.0,2012-12-20 22:17:31,0.2,4.0,4.24,4.24,0.0,0.0,True,False,1,True,212000.0,2,EUR,EUR/USD,1801.4,SELL,23545.530000000006
185289820,181370368,300.1355696865791,92298889,2.12,2012-12-19 21:46:42,2012-12-20 08:12:56,1.32274,1.32275,2.0,2012-12-19 21:49:45,-40.0,2012-12-19 22:47:20,0.1,2.0,2.12,-11.53,-13.65,0.0,True,False,1,True,212000.0,2,EUR,EUR/USD,1801.2,BUY,23541.290000000005
185271089,181374685,300.1355696881578,92300196,1.66,2012-12-19 22:14:46,2012-12-20 01:26:31,1.32235,1.32238,0.0,2012-12-20 01:26:31,-36.0,2012-12-19 22:47:20,0.3,5.0,4.98,4.98,0.0,0.0,True,False,1,True,166000.0,2,EUR,EUR/USD,1801.1,BUY,23552.820000000003
184964979,180996598,300.1355695355332,92126837,2.12,2012-12-17 22:19:21,2012-12-18 00:00:02,1.31633,1.31618,6.0,2012-12-17 22:46:18,-4.0,2012-12-17 23:52:45,1.5,32.0,31.8,31.8,0.0,0.0,True,False,1,True,212000.0,2,EUR,EUR/USD,1800.8,SELL,23547.840000000004
