id,tradeId,providerTicket,brokerTicket,lots,dateOpen,dateClosed,priceOpen,priceClosed,maxProfit,maxProfitDate,worstDrawdown,maxDrawdownDate,pips,totalPips,grossPnl,netPnl,interest,commission,existsAsLiveTrade,hasEconomicEvent,statusId,valid,amount,currencyId,transactionCurrency,currency,totalAccumulatedPips,tradeType,totalAccumulatedPnl
401828944,475918739,132.636718370875105429,01534121643345,1.0,2018-09-07 13:02:40,2018-09-12 22:11:09,0.65523,0.65628,12.0,2018-09-12 18:49:44,-53.0,2018-09-11 15:11:36,10.5,11.0,105.0,102.97,-2.03,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-252.5,BUY,-4069.194565165006
401828942,476053958,131.636718382236211788,01534121681060,1.0,2018-09-10 20:30:30,2018-09-12 22:10:51,0.65262,0.65621,38.0,2018-09-12 18:49:44,-27.0,2018-09-11 15:11:36,35.9,36.0,359.0,356.97,-2.03,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-263.0,BUY,-4172.164565165006
401729597,476130942,132.636718370875113191,01534121701637,1.0,2018-09-11 11:33:59,2018-09-11 21:05:09,1.15865,1.16043,25.0,2018-09-11 20:45:00,-22.0,2018-09-11 12:06:51,17.8,18.0,178.0,167.28,-10.72,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-298.9,BUY,-4529.134565165006
401615563,475911626,132.636718370875105208,01534121642013,1.0,2018-09-07 12:30:32,2018-09-10 13:15:56,1.15889,1.16041,26.0,2018-09-10 13:01:03,-64.0,2018-09-10 06:49:41,15.2,15.0,152.0,152.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-316.7,BUY,-4696.414565165006
401605247,475950226,131.636718382236208336,01534121649432,1.0,2018-09-07 19:32:01,2018-09-10 12:11:57,1.15613,1.15715,22.0,2018-09-10 09:28:54,-36.0,2018-09-10 06:49:41,10.2,10.0,102.0,102.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-331.9,BUY,-4848.414565165006
401559132,475918750,132.636718370875105433,01534121643365,1.0,2018-09-07 13:02:56,2018-09-07 13:46:25,1.15652,1.15775,20.0,2018-09-07 13:42:25,-5.0,2018-09-07 13:03:56,12.3,12.0,123.0,123.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-342.1,BUY,-4950.414565165006
401461950,475687904,132.636717224760254533,01534121587254,1.0,2018-09-05 12:53:05,2018-09-06 12:51:49,0.65731,0.65988,42.0,2018-09-06 00:17:07,-10.0,2018-09-05 12:57:47,25.7,26.0,257.0,256.37,-0.63,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-354.4,BUY,-5073.414565165006
401461949,475392038,132.636713164755344577,01534121512977,1.0,2018-08-31 15:16:39,2018-09-06 12:51:42,1.16256,1.16423,32.0,2018-09-06 00:17:01,-97.0,2018-09-04 14:04:05,16.7,17.0,167.0,133.79,-33.21,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-380.1,BUY,-5329.784565165006
401397384,475684496,132.636717224760254441,01534121586858,1.0,2018-09-05 12:14:45,2018-09-05 13:40:06,1.15839,1.16234,55.0,2018-09-05 13:18:13,-13.0,2018-09-05 12:28:28,39.5,40.0,395.0,395.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-396.8,BUY,-5463.574565165006
401375130,475578221,132.636716180694759223,01534121558035,1.0,2018-09-04 11:48:06,2018-09-05 12:52:52,0.65559,0.65704,15.0,2018-09-05 12:52:35,-27.0,2018-09-05 01:00:58,14.5,15.0,145.0,144.37,-0.63,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-436.3,BUY,-5858.574565165006
401373021,475578226,132.636716180694759224,01534121558042,1.0,2018-09-04 11:48:18,2018-09-05 12:13:05,1.15644,1.158,43.0,2018-09-05 02:51:22,-36.0,2018-09-04 14:04:05,15.6,16.0,156.0,144.93,-11.07,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-450.8,BUY,-6002.944565165006
401245598,475423932,131.636714092761063009,01534121522484,1.0,2018-09-02 23:50:00,2018-09-03 14:19:50,1.15979,1.161,26.0,2018-09-03 07:41:43,-10.0,2018-09-03 01:34:14,12.1,12.0,121.0,121.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-466.4,BUY,-6147.874565165006
401206283,475396165,132.636713164755344836,01534121514044,1.0,2018-08-31 16:12:18,2018-08-31 20:40:08,1.15938,1.16073,16.0,2018-08-31 20:33:03,-11.0,2018-08-31 16:40:05,13.5,14.0,135.0,135.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-478.5,BUY,-6268.874565165006
401188089,475384284,132.636713164755344220,01534121510985,1.0,2018-08-31 13:14:07,2018-08-31 14:21:31,1.16302,1.16398,14.0,2018-08-31 14:14:53,-6.0,2018-08-31 13:28:23,9.6,10.0,96.0,96.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-492.0,BUY,-6403.874565165006
401032153,475147065,131.636706268150045544,01534121453094,1.0,2018-08-29 06:41:54,2018-08-29 13:59:54,1.16691,1.16869,18.0,2018-08-29 13:59:50,-19.0,2018-08-29 11:03:33,17.8,18.0,178.0,178.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-501.6,BUY,-6499.874565165006
400964524,472465449,132.636686394335412731,01531140433759,1.0,2018-07-31 14:20:50,2018-08-28 13:11:36,1.17082,1.17181,17.0,2018-08-28 13:08:31,-409.0,2018-08-15 13:55:24,9.9,10.0,99.0,-94.12,-193.12,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-519.4,BUY,-6677.874565165006
400944917,474985750,131.636706268150039646,01534121412686,1.0,2018-08-27 16:21:30,2018-08-28 10:10:43,1.16813,1.17026,23.0,2018-08-28 10:04:00,-21.0,2018-08-28 05:23:57,21.3,21.0,213.0,202.29,-10.71,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-529.3,BUY,-6583.754565165006
400944907,474985730,131.636706268150039638,01534121412668,1.0,2018-08-27 16:20:53,2018-08-28 10:10:38,1.16815,1.17019,23.0,2018-08-28 10:04:00,-21.0,2018-08-28 05:23:57,20.4,20.0,204.0,193.29,-10.71,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-550.6,BUY,-6786.044565165006
400944846,474987695,131.636706268150039740,01534121412911,1.0,2018-08-27 16:33:00,2018-08-28 10:10:33,0.66998,0.67097,12.0,2018-08-28 10:02:33,-25.0,2018-08-28 06:39:47,9.9,10.0,99.0,98.0,-1.0,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-571.0,BUY,-6979.334565165006
400944751,472595636,132.636686394335415706,01531140455229,1.0,2018-08-01 13:25:33,2018-08-28 10:10:26,1.16835,1.1702,21.0,2018-08-28 10:04:00,-384.0,2018-08-15 13:55:24,18.5,19.0,185.0,2.93,-182.07,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-580.9,BUY,-7077.334565165006
400944696,474652930,131.636703724947806936,01534121340658,1.0,2018-08-22 17:39:52,2018-08-28 10:10:20,0.66943,0.67086,17.0,2018-08-28 10:02:33,-76.0,2018-08-23 22:14:24,14.3,14.0,143.0,142.1,-0.9,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-599.4,BUY,-7080.264565165006
400899767,472655791,131.636686333559033071,01531140460287,1.0,2018-08-01 19:23:02,2018-08-27 16:20:26,1.16617,1.1678,18.0,2018-08-27 16:20:16,-362.0,2018-08-15 13:55:24,16.3,16.0,163.0,-8.36,-171.36,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-613.7,BUY,-7222.364565165007
400899763,461608984,131.636603346558935909,01524222733752,1.0,2018-05-02 18:52:48,2018-08-27 16:20:17,1.20034,1.16792,4.0,2018-05-03 07:45:05,-704.0,2018-08-15 13:55:23,-324.2,-324.0,-3242.0,-3882.51,-640.51,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-630.0,BUY,-7214.004565165007
400892715,474967783,132.636708988636813085,01534121408855,1.0,2018-08-27 12:13:52,2018-08-27 14:13:28,1.16316,1.16528,24.0,2018-08-27 13:48:15,-4.0,2018-08-27 12:14:04,21.2,21.0,212.0,212.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-305.8,BUY,-3331.4945651650073
400887277,474958982,131.636706268150038358,01534121406837,1.0,2018-08-27 09:59:32,2018-08-27 12:13:44,1.16183,1.16283,11.0,2018-08-27 12:11:03,-15.0,2018-08-27 10:52:45,10.0,10.0,100.0,100.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-327.0,BUY,-3543.4945651650073
400833466,472733455,131.636686333559036587,01531140475575,1.0,2018-08-02 08:29:25,2018-08-27 00:30:12,1.16241,1.16417,28.0,2018-08-26 23:57:28,-325.0,2018-08-15 13:55:23,17.6,18.0,176.0,4.64,-171.36,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-337.0,BUY,-3643.4945651650073
400811457,474656427,131.636703724947807122,01534121341316,1.0,2018-08-22 18:30:42,2018-08-24 15:05:22,1.15914,1.16313,47.0,2018-08-24 14:07:09,-63.0,2018-08-23 19:03:56,39.9,40.0,399.0,377.58,-21.42,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-354.6,BUY,-3648.134565165007
400811455,474748715,132.636705856652189907,01534121361181,1.0,2018-08-23 13:14:33,2018-08-24 15:05:16,0.66661,0.66878,26.0,2018-08-24 14:51:59,-48.0,2018-08-23 22:14:24,21.7,22.0,217.0,217.05,0.05,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-394.5,BUY,-4025.714565165007
400811428,474758156,132.636706281053833036,01534121362071,1.0,2018-08-23 14:26:51,2018-08-24 15:05:11,1.156,1.16316,79.0,2018-08-24 14:07:09,-32.0,2018-08-23 19:03:56,71.6,72.0,716.0,705.29,-10.71,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-416.2,BUY,-4242.764565165007
400763923,474792691,131.636706268150033331,01534121376484,1.0,2018-08-23 22:42:07,2018-08-24 10:04:22,0.66363,0.66486,17.0,2018-08-24 07:03:17,-16.0,2018-08-24 00:05:46,12.3,12.0,123.0,123.0,0.0,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-487.8,BUY,-4948.054565165007
400696858,474749004,132.636705856652189969,01534121361282,1.0,2018-08-23 13:19:45,2018-08-23 13:54:03,1.15631,1.15869,26.0,2018-08-23 13:53:47,-5.0,2018-08-23 13:20:18,23.8,24.0,238.0,238.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-500.1,BUY,-5071.054565165007
400642233,474641608,132.636704812620816063,01534121338723,1.0,2018-08-22 14:19:11,2018-08-22 18:01:18,1.1588,1.16035,20.0,2018-08-22 18:00:37,-7.0,2018-08-22 17:59:12,15.5,16.0,155.0,155.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-523.9,BUY,-5309.054565165007
400642230,474652960,131.636703724947806938,01534121340697,1.0,2018-08-22 17:45:01,2018-08-22 18:01:14,1.1591,1.16007,17.0,2018-08-22 18:00:37,-10.0,2018-08-22 17:59:12,9.7,10.0,97.0,97.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-539.4,BUY,-5464.054565165007
400625615,474533295,132.636703768542466084,01534121316792,1.0,2018-08-21 17:45:02,2018-08-22 12:36:49,0.66995,0.67088,19.0,2018-08-21 22:46:33,-20.0,2018-08-22 08:50:00,9.3,9.0,93.0,93.05,0.05,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-549.1,BUY,-5561.054565165007
400623650,473459651,131.636693408759839411,01533472916652,1.0,2018-08-09 11:17:29,2018-08-22 11:51:48,1.15914,1.16068,25.0,2018-08-22 11:19:54,-292.0,2018-08-15 13:55:23,15.4,15.0,154.0,57.61,-96.39,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-558.4,BUY,-5654.104565165007
400616662,474610298,131.636703724947805377,01534121333730,1.0,2018-08-22 08:29:06,2018-08-22 09:19:47,1.15606,1.15882,32.0,2018-08-22 09:17:46,-9.0,2018-08-22 08:32:09,27.6,28.0,276.0,276.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-573.8,BUY,-5711.714565165007
400565607,473482959,132.636693419089514831,01533472920726,1.0,2018-08-09 15:55:25,2018-08-21 17:44:56,1.15672,1.15898,25.0,2018-08-21 17:44:30,-268.0,2018-08-15 13:55:24,22.6,23.0,226.0,140.32,-85.68,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-601.4,BUY,-5987.714565165007
400565605,474525873,131.636703724947803666,01534121315639,1.0,2018-08-21 16:55:37,2018-08-21 17:44:51,0.66841,0.66968,14.0,2018-08-21 17:44:45,-3.0,2018-08-21 16:55:38,12.7,13.0,127.0,127.0,0.0,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-624.0,BUY,-6128.034565165007
400561887,473502343,131.636693408759840783,01533472924249,1.0,2018-08-09 19:35:04,2018-08-21 16:57:00,1.15389,1.15618,33.0,2018-08-21 16:56:24,-240.0,2018-08-15 13:55:23,22.9,23.0,229.0,143.32,-85.68,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-636.7,BUY,-6255.034565165007
400555900,474453340,131.636703724947802086,01534121305464,1.0,2018-08-21 05:18:01,2018-08-21 16:55:31,0.66685,0.66812,13.0,2018-08-21 16:55:29,-17.0,2018-08-21 12:16:44,12.7,13.0,127.0,127.0,0.0,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-659.6,BUY,-6398.3545651650065
400555046,474505391,132.636703768542464967,01534121312314,1.0,2018-08-21 13:45:52,2018-08-21 16:51:38,1.15134,1.15349,25.0,2018-08-21 16:36:35,-4.0,2018-08-21 13:46:01,21.5,22.0,215.0,215.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-672.3,BUY,-6525.3545651650065
400538067,474500759,132.636703768542464590,01534121310478,1.0,2018-08-21 12:31:59,2018-08-21 13:25:58,1.14945,1.15142,20.0,2018-08-21 13:25:54,-3.0,2018-08-21 12:32:01,19.7,20.0,197.0,197.0,0.0,0.0,False,False,1,True,100000.0,2,EUR,EUR/USD,-693.8,BUY,-6740.3545651650065
400494983,474414100,131.636703724947801278,01534121301014,1.0,2018-08-20 22:11:23,2018-08-21 05:17:52,0.66488,0.66646,18.0,2018-08-21 04:56:44,-15.0,2018-08-21 00:06:43,15.8,16.0,158.0,158.0,0.0,0.0,False,False,1,True,100000.0,10,NZD,NZD/USD,-713.5,BUY,-6937.3545651650065
