id,tradeId,providerTicket,brokerTicket,lots,dateOpen,dateClosed,priceOpen,priceClosed,maxProfit,maxProfitDate,worstDrawdown,maxDrawdownDate,pips,totalPips,grossPnl,netPnl,interest,commission,existsAsLiveTrade,hasEconomicEvent,statusId,valid,amount,currencyId,transactionCurrency,currency,totalAccumulatedPips,tradeType,totalAccumulatedPnl
110343054,107981257,30.634497002725758816,01314627809447,1.0,2011-09-02 12:30:09,2011-09-02 12:33:00,76.52,76.682,0.0,2011-09-02 12:30:09,-20.0,2011-09-02 12:30:57,-16.2,-16.0,-211.27,-211.27,0.0,0.0,True,True,1,True,100000.0,4,USD,USD/JPY,1153.8,SELL,11866.12472093454
99912842,97846744,30.634461591666434938,01310593570141,1.0,2011-07-13 22:45:00,2011-07-13 22:45:34,0.84428,0.84451,5.0,2011-07-13 22:45:22,-11.0,2011-07-13 22:45:06,2.3,2.0,23.0,23.0,0.0,0.0,True,True,1,True,100000.0,10,NZD,NZD/USD,1170.0,BUY,12077.39472093454
98667200,96747697,30.634445206938081728,01309974643652,1.0,2011-07-08 12:30:13,2011-07-08 12:32:56,80.87,80.847,2.0,2011-07-08 12:32:56,-10.0,2011-07-08 12:30:47,2.3,2.0,28.45,28.45,0.0,0.0,True,True,1,True,100000.0,4,USD,USD/JPY,1167.7,SELL,12054.39472093454
91814137,90329158,29.634425434763273455,01306703871423,1.0,2011-06-03 12:30:03,2011-06-03 12:30:36,80.505,80.201,35.0,2011-06-03 12:30:39,0.0,2011-06-03 12:30:04,30.4,30.0,379.33,379.33,0.0,0.0,True,True,1,True,100000.0,4,USD,USD/JPY,1165.4,SELL,12025.94472093454
91468182,90008912,30.634425237467795372,01306703558813,1.0,2011-06-02 01:30:11,2011-06-02 01:31:58,1.06664,1.06418,0.0,2011-06-02 01:30:11,-26.0,2011-06-02 01:31:57,-24.6,-25.0,-246.0,-246.0,0.0,0.0,True,True,1,True,100000.0,8,AUD,AUD/USD,1135.0,BUY,11646.61472093454
85618541,84898723,30.634402029262656686,01304513851093,1.0,2011-05-06 11:00:02,2011-05-06 11:03:24,0.96004,0.96129,0.0,2011-05-06 11:00:02,-19.0,2011-05-06 11:00:14,-12.5,-13.0,-130.05,-130.05,0.0,0.0,True,True,1,True,100000.0,9,USD,USD/CAD,1159.6,SELL,11892.61472093454
85081017,84472230,29.634395787102502989,01304513528679,1.0,2011-05-05 08:28:03,2011-05-05 08:29:45,1.64505,1.64665,0.0,2011-05-05 08:28:13,-17.0,2011-05-05 08:28:57,-16.0,-16.0,-160.0,-160.0,0.0,0.0,True,True,1,True,100000.0,3,GBP,GBP/USD,1172.1,SELL,12022.66472093454
84990561,84397390,29.634395787102495981,01304513491565,1.0,2011-05-05 01:30:03,2011-05-05 01:30:19,1.07369,1.07215,19.0,2011-05-05 01:30:16,0.0,2011-05-05 01:30:03,15.4,15.0,154.0,154.0,0.0,0.0,True,True,1,True,100000.0,8,AUD,AUD/USD,1188.1,SELL,12182.66472093454
83282697,82821751,30.634389089448796330,01303679237237,1.0,2011-04-27 01:30:03,2011-04-27 01:30:31,1.08191,1.0828,10.0,2011-04-27 01:30:07,0.0,2011-04-27 01:30:03,8.9,9.0,89.0,89.0,0.0,0.0,True,True,1,True,100000.0,8,AUD,AUD/USD,1172.7,BUY,12028.66472093454
82486887,82142159,30.634389089448753159,01303207841746,1.0,2011-04-21 08:30:04,2011-04-21 08:38:15,1.6536,1.6537,4.0,2011-04-21 08:31:54,-14.0,2011-04-21 08:30:21,1.0,1.0,10.0,10.0,0.0,0.0,True,True,1,True,100000.0,3,GBP,GBP/USD,1163.8,BUY,11939.66472093454
79290471,79495988,30.634376252521232106,8881301864091492,1.0,2011-04-07 01:30:06,2011-04-07 01:30:47,1.04535,1.04735,20.0,2011-04-07 01:30:47,-1.0,2011-04-07 01:30:17,20.0,20.0,200.0,200.0,0.0,0.0,True,True,1,True,100000.0,8,AUD,AUD/USD,1162.8,BUY,11929.66472093454
61958096,65078740,30.634318261728545573,8881296575935248,1.0,2011-02-02 21:44:52,2011-02-02 21:45:23,0.77418,0.77271,20.0,2011-02-02 21:45:16,-6.0,2011-02-02 21:44:56,14.7,15.0,147.0,147.0,0.0,0.0,True,True,1,True,100000.0,10,NZD,NZD/USD,1142.8,SELL,11729.66472093454
51490433,56542898,30.634286092401428798,8881292862443210,1.0,2010-12-22 21:45:08,2010-12-22 21:49:20,0.73883,0.74013,0.0,2010-12-22 21:45:08,-20.0,2010-12-22 21:46:13,-13.0,-13.0,-130.0,-130.0,0.0,0.0,True,True,1,True,100000.0,10,NZD,NZD/USD,1128.1,SELL,11582.66472093454
49737197,55083898,30.634278601596358639,8881292255817773,1.0,2010-12-13 21:45:03,2010-12-13 21:51:05,0.74857,0.75146,0.0,2010-12-13 21:45:03,-40.0,2010-12-13 21:47:57,-28.9,-29.0,-289.0,-289.0,0.0,0.0,True,True,1,True,100000.0,10,NZD,NZD/USD,1141.1,SELL,11712.66472093454
45744913,51788106,29.634261088287431541,8881290376507543,1.0,2010-11-23 12:00:00,2010-11-23 12:02:57,1.01877,1.01754,19.0,2010-11-23 12:02:24,0.0,2010-11-23 12:00:00,12.3,12.0,120.904721181932,120.904721181932,0.0,0.0,True,True,1,True,100000.0,9,USD,USD/CAD,1170.0,SELL,12001.66472093454
45247701,51200909,30.634251803943836638,8881289918369426,1.0,2010-11-18 15:00:05,2010-11-18 15:02:45,133.546,133.543,0.0,2010-11-18 15:00:05,-19.0,2010-11-18 15:00:26,-0.3,0.0,-3.592126059677,-3.592126059677,0.0,0.0,True,False,1,True,100000.0,6,GBP,GBP/JPY,1157.7,BUY,11880.759999752607
43525729,49112592,29.634243100292370955,8881288795255042,1.0,2010-11-05 12:30:00,2010-11-05 12:33:54,81.03,81.208,25.0,2010-11-05 12:30:07,0.0,2010-11-05 12:30:00,17.8,18.0,219.148399170191,219.148399170191,0.0,0.0,True,True,1,True,100000.0,4,USD,USD/JPY,1158.0,BUY,11884.352125812284
43234803,48752755,30.634243157447313078,8881288794627536,1.0,2010-11-03 21:45:00,2010-11-03 21:47:19,0.7828,0.78329,5.0,2010-11-03 21:46:47,-53.0,2010-11-03 21:45:12,4.9,5.0,49.0,49.0,0.0,0.0,True,True,1,True,100000.0,10,NZD,NZD/USD,1140.2,BUY,11665.203726642092
42198505,47488043,30.634235198432537360,8881287953037292,1.0,2010-10-26 08:30:00,2010-10-26 08:31:40,1.57831,1.58195,36.0,2010-10-26 08:30:04,0.0,2010-10-26 08:30:00,36.4,36.0,364.0,364.0,0.0,0.0,True,True,1,True,100000.0,3,GBP,GBP/USD,1135.3,BUY,11616.203726642092
